gene,score,logfoldchange,pval,pval_adj,pct_in,pct_out,cluster
TSPAN1,40.116165,2.1932297,0.0,0.0,0.0017985611510791368,0.0010974758056470119,2
FTH1,40.010696,0.7329372,0.0,0.0,0.0,0.000598623166716552,2
TMEM54,39.988937,1.9240371,0.0,0.0,0.009892086330935251,0.01646213708470518,2
ANPEP,39.84475,3.788767,0.0,0.0,0.008093525179856115,0.04399880275366657,2
CEACAM1,39.802395,3.197748,0.0,0.0,0.0,0.000299311583358276,2
PRAP1,39.799644,2.8874564,0.0,0.0,0.0008992805755395684,0.0017958695001496557,2
IFI27,39.439373,1.8390787,0.0,0.0,0.0341726618705036,0.17908809737603512,2
GUCA2B,39.197636,3.3358104,0.0,0.0,0.002697841726618705,0.008380724334031727,2
FABP1,39.139,1.6338369,0.0,0.0,0.00539568345323741,0.008979347500748278,2
C2orf88,38.787155,3.373422,0.0,0.0,0.0,0.000299311583358276,2
TSPAN8,38.190865,1.487291,0.0,0.0,0.00539568345323741,0.028933453057966678,2
LGALS3,37.99269,1.0924661,0.0,0.0,0.08453237410071943,0.28095380624563504,2
PRR13,37.681824,1.9792373,0.0,0.0,0.6393884892086331,0.30469919185872496,2
RHOC,37.637592,2.1464407,5.22103730211946e-310,3.0995100131187586e-307,0.0539568345323741,0.06534969569989026,2
SRI,37.4695,1.7464321,2.8916146667275655e-307,1.6726137247873628e-304,0.0008992805755395684,0.011473610695400578,2
KRT20,37.3908,2.5006082,5.513119635822546e-306,3.10926164661302e-303,0.0008992805755395684,0.00019954105557218397,2
FTH1P10,37.21334,1.344188,4.1528815824429006e-303,2.284996478495839e-300,0.07823741007194245,0.06704579467225381,2
